epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,312.363,1.30522,0.62207,0.96964,0.91905,0.86891,0.91008,0.53123,1.31982,0.65075,1.01941,0.0012476,0.0012476,0.0012476
78,316.371,1.29989,0.63001,0.9808,0.92751,0.85655,0.90492,0.53494,1.33395,0.66842,1.01797,0.0012377,0.0012377,0.0012377
79,320.407,1.28832,0.63031,0.97529,0.9288,0.88607,0.91836,0.55726,1.2925,0.62469,1.00286,0.0012278,0.0012278,0.0012278
80,324.497,1.28472,0.61842,0.9797,0.93831,0.86649,0.92067,0.56033,1.29876,0.6263,1.01404,0.0012179,0.0012179,0.0012179
81,328.592,1.28034,0.61753,0.98336,0.91932,0.89153,0.92172,0.5595,1.29626,0.64117,1.00481,0.001208,0.001208,0.001208
82,332.624,1.31189,0.63324,0.97729,0.91776,0.84969,0.90852,0.54389,1.32698,0.64029,1.01706,0.0011981,0.0011981,0.0011981
83,336.66,1.28778,0.63838,0.98574,0.90474,0.8744,0.91395,0.53919,1.30781,0.64224,0.99977,0.0011882,0.0011882,0.0011882
84,340.676,1.28779,0.6192,0.97811,0.92592,0.87989,0.92362,0.55707,1.29456,0.64129,1.00623,0.0011783,0.0011783,0.0011783
85,344.691,1.26754,0.60405,0.97188,0.93314,0.88401,0.92489,0.5567,1.28461,0.61844,1.00141,0.0011684,0.0011684,0.0011684
86,348.71,1.28426,0.61136,0.97671,0.93787,0.88066,0.92368,0.56661,1.27976,0.61077,1.00432,0.0011585,0.0011585,0.0011585
87,352.838,1.27708,0.60603,0.95906,0.92707,0.8744,0.91611,0.56469,1.28137,0.62581,0.99762,0.0011486,0.0011486,0.0011486
88,356.849,1.27873,0.61744,0.97293,0.92611,0.86888,0.92275,0.55134,1.29454,0.61776,1.00221,0.0011387,0.0011387,0.0011387
89,360.898,1.27189,0.612,0.96483,0.93944,0.89439,0.92725,0.57656,1.25739,0.58826,0.98916,0.0011288,0.0011288,0.0011288
90,365.003,1.29784,0.61273,0.97279,0.9154,0.88813,0.9167,0.5518,1.2881,0.63071,1.00018,0.0011189,0.0011189,0.0011189
91,369.053,1.2517,0.60983,0.96495,0.89562,0.86754,0.91183,0.55436,1.28337,0.63617,0.99131,0.001109,0.001109,0.001109
92,373.111,1.25853,0.60963,0.96916,0.91987,0.8824,0.92209,0.5651,1.2693,0.61357,0.99417,0.0010991,0.0010991,0.0010991
93,377.13,1.28156,0.61334,0.97089,0.92326,0.87534,0.91672,0.55802,1.27008,0.60857,0.9909,0.0010892,0.0010892,0.0010892
94,381.151,1.28522,0.61208,0.96496,0.93482,0.87613,0.92038,0.57206,1.26326,0.5949,0.98705,0.0010793,0.0010793,0.0010793
95,385.179,1.26765,0.60663,0.968,0.94151,0.87852,0.92461,0.57085,1.26553,0.58867,0.99227,0.0010694,0.0010694,0.0010694
96,389.228,1.24892,0.59359,0.95039,0.91734,0.87303,0.9171,0.55572,1.27933,0.63529,0.99056,0.0010595,0.0010595,0.0010595
97,393.284,1.22708,0.60386,0.98154,0.93033,0.87714,0.92196,0.57876,1.25016,0.60976,0.98859,0.0010496,0.0010496,0.0010496
98,397.392,1.23734,0.59155,0.965,0.95045,0.88201,0.93027,0.57778,1.24214,0.58684,0.9817,0.0010397,0.0010397,0.0010397
99,401.451,1.22893,0.6018,0.97144,0.92599,0.88447,0.92201,0.57906,1.2478,0.60472,0.98128,0.0010298,0.0010298,0.0010298
100,405.562,1.25338,0.59861,0.97356,0.916,0.88312,0.92415,0.56889,1.26829,0.60859,0.99047,0.0010199,0.0010199,0.0010199
101,409.619,1.24935,0.59131,0.95837,0.92804,0.88744,0.92945,0.57463,1.26736,0.6022,0.99867,0.00101,0.00101,0.00101
102,413.679,1.22679,0.59396,0.95822,0.93753,0.88813,0.92496,0.57618,1.25024,0.57938,0.9886,0.0010001,0.0010001,0.0010001
103,417.698,1.22206,0.5889,0.9582,0.93636,0.87989,0.92411,0.57958,1.23017,0.59353,0.98502,0.0009902,0.0009902,0.0009902
104,421.817,1.23444,0.59227,0.95678,0.92699,0.88881,0.92367,0.57741,1.23308,0.59847,0.98454,0.0009803,0.0009803,0.0009803
105,425.897,1.20841,0.58332,0.95621,0.94797,0.87542,0.92676,0.57435,1.26291,0.59547,0.98901,0.0009704,0.0009704,0.0009704
106,429.929,1.22155,0.58609,0.96058,0.9392,0.89705,0.92953,0.58356,1.22203,0.5735,0.97162,0.0009605,0.0009605,0.0009605
107,434.032,1.22128,0.58424,0.95208,0.93752,0.88195,0.9272,0.58258,1.2328,0.59351,0.97704,0.0009506,0.0009506,0.0009506
108,438.039,1.20574,0.58124,0.96233,0.92774,0.88997,0.92687,0.58522,1.23008,0.58733,0.98193,0.0009407,0.0009407,0.0009407
109,442.142,1.2007,0.57465,0.94308,0.93784,0.88744,0.92939,0.59426,1.24138,0.57244,0.98529,0.0009308,0.0009308,0.0009308
110,446.224,1.19518,0.56958,0.95862,0.93064,0.88406,0.92163,0.57666,1.24086,0.59691,0.9835,0.0009209,0.0009209,0.0009209
111,450.238,1.22559,0.57333,0.9455,0.93788,0.89121,0.92768,0.58356,1.22972,0.58483,0.97761,0.000911,0.000911,0.000911
112,454.23,1.2031,0.57157,0.94843,0.93668,0.88744,0.92694,0.59328,1.21089,0.56964,0.97645,0.0009011,0.0009011,0.0009011
113,458.233,1.20194,0.56963,0.93715,0.93435,0.89873,0.93205,0.59091,1.21575,0.57586,0.97733,0.0008912,0.0008912,0.0008912
114,462.228,1.1824,0.56261,0.94154,0.93398,0.89156,0.93242,0.59192,1.21351,0.56271,0.97496,0.0008813,0.0008813,0.0008813
115,466.22,1.20428,0.57467,0.95085,0.93919,0.89774,0.93317,0.60181,1.19254,0.54792,0.97052,0.0008714,0.0008714,0.0008714
116,470.301,1.20473,0.56761,0.94775,0.91046,0.87714,0.92346,0.57665,1.23922,0.58665,0.97376,0.0008615,0.0008615,0.0008615
117,474.3,1.20585,0.57877,0.96276,0.94547,0.88126,0.92929,0.58143,1.24771,0.58847,0.98304,0.0008516,0.0008516,0.0008516
118,478.298,1.20781,0.57359,0.94276,0.92632,0.87371,0.91896,0.58354,1.2149,0.59995,0.96868,0.0008417,0.0008417,0.0008417
119,482.313,1.20179,0.57037,0.94579,0.95078,0.8943,0.93163,0.59059,1.20226,0.56788,0.96686,0.0008318,0.0008318,0.0008318
120,486.343,1.19074,0.55747,0.93806,0.94516,0.89906,0.9333,0.59473,1.20805,0.55548,0.96903,0.0008219,0.0008219,0.0008219
121,490.397,1.17108,0.55887,0.9351,0.95036,0.88607,0.92756,0.58986,1.20229,0.56033,0.97165,0.000812,0.000812,0.000812
122,494.422,1.17299,0.55383,0.94748,0.93481,0.89911,0.92992,0.59231,1.21896,0.56491,0.98153,0.0008021,0.0008021,0.0008021
123,498.443,1.18183,0.56289,0.93758,0.93386,0.89705,0.92994,0.58863,1.19773,0.57191,0.97332,0.0007922,0.0007922,0.0007922
124,502.443,1.14053,0.5397,0.93924,0.94728,0.90028,0.93098,0.59179,1.19845,0.57047,0.9657,0.0007823,0.0007823,0.0007823
125,506.454,1.17536,0.56064,0.94467,0.94164,0.91283,0.93121,0.59975,1.20676,0.5529,0.97529,0.0007724,0.0007724,0.0007724
126,510.466,1.16513,0.55022,0.93323,0.93808,0.88675,0.932,0.595,1.18562,0.57524,0.96657,0.0007625,0.0007625,0.0007625
127,514.487,1.18264,0.5618,0.94266,0.9426,0.89034,0.93523,0.59732,1.18184,0.5606,0.96309,0.0007526,0.0007526,0.0007526
128,518.486,1.15956,0.54926,0.94289,0.93297,0.9046,0.9305,0.60049,1.18111,0.56038,0.95851,0.0007427,0.0007427,0.0007427
129,522.485,1.16967,0.554,0.94188,0.91871,0.9046,0.92934,0.58816,1.21058,0.56894,0.96712,0.0007328,0.0007328,0.0007328
130,526.484,1.16379,0.54778,0.9346,0.94472,0.89146,0.92855,0.59529,1.20605,0.55827,0.96964,0.0007229,0.0007229,0.0007229
